2,False,False,True,False
3,False,False,True,False
5,False,False,True,False
7,False,False,True,False
8,False,False,True,False
11,False,True,False,False
13,True,False,False,False
14,False,False,True,False
16,False,False,True,False
17,False,True,False,False
19,False,True,False,False
20,False,True,False,False
21,False,True,False,False
22,True,False,False,False
23,True,False,False,False
25,False,True,False,False
29,True,False,False,False
30,False,True,False,False
32,False,True,False,False
33,True,False,False,False
34,False,False,True,False
35,False,True,False,False
36,True,False,False,False
38,True,False,False,False
50,False,False,True,False
53,True,False,False,False
54,True,False,False,False
56,False,True,False,False
61,True,False,False,False
64,False,True,False,False
65,False,True,False,False
68,True,False,False,False
69,True,False,False,False
71,True,False,False,False
85,False,True,False,False
86,True,False,False,False
89,True,False,False,False
90,True,False,False,False
94,False,True,False,False
99,False,True,False,False
100,True,False,False,False
101,False,False,True,False
106,False,True,False,False
109,True,False,False,False
113,True,False,False,False
122,False,True,False,False
125,True,False,False,False
126,True,False,False,False
127,True,False,False,False
130,True,False,False,False
136,True,False,False,False
138,True,False,False,False
143,True,False,False,False
173,True,False,False,False
179,True,False,False,False
183,False,True,False,False
185,False,False,True,False
201,False,True,False,False
204,False,True,False,False
237,False,False,True,False
241,True,False,False,False
297,True,False,False,False
328,True,False,False,False
334,False,False,True,False
393,False,True,False,False
394,False,False,True,False
395,False,False,True,False
396,False,True,False,False
397,False,True,False,False
398,False,True,False,False
400,False,True,False,False
401,False,True,False,False
402,False,True,False,False
408,False,True,False,False
409,False,True,False,False
418,False,True,False,False
433,False,False,True,False
496,True,False,False,False
